Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-25,20:00:00,2416.75,2416.78,2413.83,2416.13,0,0
2017-05-25,21:00:00,2416.16,2417.72,2415.11,2416.7,0,0
2017-05-25,22:00:00,2416.69,2418.68,2414.36,2415.07,0,0
2017-05-26,16:00:00,2414.05,2415.5,2412.23,2415.49,0,0
2017-05-26,17:00:00,2415.43,2416.68,2413.94,2413.94,0,0
2017-05-26,18:00:00,2413.83,2415.67,2412.9,2412.92,0,0
2017-05-26,19:00:00,2412.91,2415.83,2412.91,2415.4,0,0
2017-05-26,20:00:00,2415.44,2415.96,2414.19,2414.58,0,0
2017-05-26,21:00:00,2414.55,2415.74,2414.2,2415.3,0,0
2017-05-26,22:00:00,2415.26,2416.03,2414.26,2415.82,0,0
2017-05-30,16:00:00,2411.38,2414.35,2410.13,2412.86,0,0
2017-05-30,17:00:00,2412.89,2413.69,2409.45,2412.68,0,0
2017-05-30,18:00:00,2412.73,2413.98,2412.26,2412.83,0,0
2017-05-30,19:00:00,2412.91,2415.24,2412.91,2414.54,0,0
2017-05-30,20:00:00,2414.56,2415.09,2413.44,2413.8,0,0
2017-05-30,21:00:00,2413.79,2414.41,2412.77,2413.91,0,0
2017-05-30,22:00:00,2413.87,2415.16,2412.86,2412.91,0,0
2017-05-31,16:00:00,2415.62,2415.96,2406.29,2406.64,0,0
2017-05-31,17:00:00,2406.53,2410.87,2403.84,2410.79,0,0
2017-05-31,18:00:00,2410.75,2411.13,2405.41,2407.97,0,0
2017-05-31,19:00:00,2407.91,2409.75,2406.81,2407.08,0,0
2017-05-31,20:00:00,2407.13,2410.13,2406.7,2407.24,0,0
2017-05-31,21:00:00,2407.26,2409.4,2404.91,2407.92,0,0
2017-05-31,22:00:00,2407.96,2412.31,2407.3,2411.8,0,0
2017-06-01,16:00:00,2416.12,2418.09,2413.56,2416.49,0,0
2017-06-01,17:00:00,2416.48,2417.34,2414.06,2415.19,0,0
2017-06-01,18:00:00,2415.93,2420.29,2415.05,2420.17,0,0
2017-06-01,19:00:00,2420.12,2423.86,2420.12,2423.46,0,0
2017-06-01,20:00:00,2423.48,2426.06,2423.46,2425.16,0,0
2017-06-01,21:00:00,2425.11,2426.93,2424.69,2424.88,0,0
2017-06-01,22:00:00,2424.76,2430.06,2424.02,2430.06,0,0
2017-06-02,16:00:00,2431.06,2433.29,2427.73,2429.05,0,0
2017-06-02,17:00:00,2428.98,2434.52,2428.9,2433.57,0,0
2017-06-02,18:00:00,2433.57,2437.23,2432.89,2437.04,0,0
2017-06-02,19:00:00,2437.03,2437.59,2435.5,2436.92,0,0
2017-06-02,20:00:00,2436.95,2439.65,2436.14,2438.85,0,0
2017-06-02,21:00:00,2438.68,2439.41,2436.51,2437.74,0,0
2017-06-02,22:00:00,2437.87,2440.23,2436.39,2439.07,0,0
2017-06-05,16:00:00,2437.39,2437.99,2434.48,2437.79,0,0
2017-06-05,17:00:00,2437.72,2439.55,2437.52,2437.59,0,0
2017-06-05,18:00:00,2437.6,2438.13,2435.51,2437.91,0,0
2017-06-05,19:00:00,2437.81,2439.07,2437.07,2437.8,0,0
2017-06-05,20:00:00,2437.93,2439.29,2437.41,2437.58,0,0
2017-06-05,21:00:00,2437.59,2438.25,2437.07,2437.62,0,0
2017-06-05,22:00:00,2437.63,2438.61,2435.83,2436.1,0,0
2017-06-06,16:00:00,2431.05,2433.5,2428.15,2433.32,0,0
2017-06-06,17:00:00,2433.42,2434.86,2431.75,2432.15,0,0
2017-06-06,18:00:00,2432.2,2434.72,2430.63,2433.23,0,0
2017-06-06,19:00:00,2433.31,2433.9,2432.31,2433.37,0,0
2017-06-06,20:00:00,2433.39,2433.5,2430.91,2431.87,0,0
2017-06-06,21:00:00,2431.86,2436.21,2431.86,2435.57,0,0
2017-06-06,22:00:00,2435.53,2436.05,2428.6,2429.33,0,0
2017-06-07,16:00:00,2432.04,2434.14,2431.37,2433.77,0,0
2017-06-07,17:00:00,2434.68,2434.93,2428.15,2431.04,0,0
2017-06-07,18:00:00,2430.82,2432.29,2429.2,2430.85,0,0
2017-06-07,19:00:00,2430.84,2430.86,2424.76,2427.45,0,0
2017-06-07,20:00:00,2427.48,2431.7,2426.99,2431.08,0,0
2017-06-07,21:00:00,2431.1,2433.94,2430.69,2432.94,0,0
2017-06-07,22:00:00,2432.9,2435.28,2431.73,2433.14,0,0
2017-06-08,16:00:00,2434.16,2436.21,2429.24,2431.89,0,0
2017-06-08,17:00:00,2431.87,2433.87,2428.03,2431.77,0,0
2017-06-08,18:00:00,2431.89,2434.94,2431.88,2434.47,0,0
2017-06-08,19:00:00,2434.7,2439.25,2434.41,2437.61,0,0
2017-06-08,20:00:00,2437.71,2437.73,2432.56,2435.82,0,0
2017-06-08,21:00:00,2435.84,2436.06,2428.07,2429.3,0,0
2017-06-08,22:00:00,2429.31,2434.36,2429.21,2433.79,0,0
2017-06-09,16:00:00,2437.03,2442.02,2436.94,2441.02,0,0
2017-06-09,17:00:00,2441.09,2446.02,2440.41,2444.63,0,0
2017-06-09,18:00:00,2444.61,2446.16,2443.03,2443.04,0,0
2017-06-09,19:00:00,2443.02,2443.84,2435.74,2439.09,0,0
2017-06-09,20:00:00,2439.07,2439.99,2428.87,2428.87,0,0
2017-06-09,21:00:00,2428.82,2433.19,2416.74,2420.49,0,0
2017-06-09,22:00:00,2420.63,2431.77,2420.5,2431.77,0,0
2017-06-12,16:00:00,2426.14,2430.31,2420.64,2421.89,0,0
2017-06-12,17:00:00,2421.6,2426.99,2420.06,2426.54,0,0
